Classifier;Rounds;Precision;Recall;F-score;Support;Accuracy;Next version;
d_tree;1;0.9693877551020408;0.8558558558558559;0.9090909090909091;222.0;0.8587360594795539;release-2.3.0;
d_tree;2;0.973568281938326;1.0;0.9866071428571429;221.0;0.9776119402985075;release-2.8.0-RC2;
d_tree;3;0.973568281938326;1.0;0.9866071428571429;221.0;0.9775280898876404;YARN-5355_branch2-2017-08-31;
d_tree;4;0.973568281938326;1.0;0.9866071428571429;221.0;0.9774436090225563;release-1.0.2-rc2;
d_tree;5;0.9734513274336283;1.0;0.9865470852017937;220.0;0.9773584905660377;release-2.6.5-RC1;
d_tree;6;0.9733333333333334;1.0;0.9864864864864865;219.0;0.9772727272727273;release-2.6.4-RC0;
d_tree;7;0.9732142857142857;1.0;0.9864253393665159;218.0;0.9771863117870723;release-3.0.1-RC0;
d_tree;8;0.9732142857142857;1.0;0.9864253393665159;218.0;0.9770992366412213;release-1.1.2-rc4;
d_tree;9;0.9730941704035875;1.0;0.9863636363636364;217.0;0.9770114942528736;release-1.0.0-rc2;
d_tree;10;0.972972972972973;1.0;0.9863013698630138;216.0;0.9769230769230769;release-1.0.0-rc3;
d_tree;11;0.9728506787330317;1.0;0.9862385321100917;215.0;0.9768339768339769;rel/release-2.8.1;
d_tree;12;0.9728506787330317;1.0;0.9862385321100917;215.0;0.9767441860465116;release-0.20.204.0-rc3;
d_tree;13;0.9727272727272728;1.0;0.9861751152073733;214.0;0.9766536964980544;release-0.23.6-rc1-old;
d_tree;14;0.9726027397260274;1.0;0.9861111111111112;213.0;0.9765625;rel/release-2.9.0;
d_tree;15;0.9726027397260274;1.0;0.9861111111111112;213.0;0.9764705882352941;release-2.0.6-alpha;
d_tree;16;0.9724770642201835;1.0;0.986046511627907;212.0;0.9763779527559056;release-2.5.0;
d_tree;17;0.9723502304147466;1.0;0.985981308411215;211.0;0.9762845849802372;release-2.8.0-RC3;
d_tree;18;0.9723502304147466;1.0;0.985981308411215;211.0;0.9761904761904762;release-2.7.2-RC1;
d_tree;19;0.9722222222222222;1.0;0.9859154929577464;210.0;0.9760956175298805;release-2.6.1-RC0;
d_tree;20;0.9720930232558139;1.0;0.9858490566037736;209.0;0.976;release-1.2.1;
d_tree;21;0.9719626168224299;1.0;0.985781990521327;208.0;0.9759036144578314;release-0.23.8;
d_tree;22;0.971830985915493;1.0;0.9857142857142858;207.0;0.9758064516129032;release-0.17.2;
d_tree;23;0.9716981132075472;1.0;0.985645933014354;206.0;0.9757085020242915;release-0.23.1-rc2;
d_tree;24;0.9715639810426541;1.0;0.9855769230769231;205.0;0.975609756097561;release-2.0.2-alpha-rc1;
d_tree;25;0.9714285714285714;1.0;0.9855072463768115;204.0;0.9755102040816327;release-0.23.4-rc0;
d_tree;26;0.9712918660287081;1.0;0.9854368932038834;203.0;0.9754098360655737;release-3.0.0-beta1-RC0;
d_tree;27;0.9712918660287081;1.0;0.9854368932038834;203.0;0.9753086419753086;release-0.23.4-rc1;
d_tree;28;0.9711538461538461;1.0;0.9853658536585366;202.0;0.9752066115702479;release-2.1.0-beta-rc1;
d_tree;29;0.9710144927536232;1.0;0.9852941176470589;201.0;0.975103734439834;release-1.0.3;
d_tree;30;0.970873786407767;1.0;0.9852216748768473;200.0;0.975;YARN-5355-2017-04-25;
d_tree;31;0.970873786407767;1.0;0.9852216748768473;200.0;0.9748953974895398;release-2.6.1;
d_tree;32;0.9707317073170731;1.0;0.9851485148514851;199.0;0.9747899159663865;release-1.1.0-rc5;
d_tree;33;0.9705882352941176;1.0;0.9850746268656716;198.0;0.9746835443037974;release-0.20.205.0;
d_tree;34;0.9704433497536946;1.0;0.985;197.0;0.9745762711864406;release-2.6.0;
d_tree;35;0.9702970297029703;1.0;0.9849246231155778;196.0;0.9744680851063829;release-0.23.11;
d_tree;36;0.9701492537313433;1.0;0.9848484848484849;195.0;0.9743589743589743;release-2.6.5-RC0;
d_tree;37;0.97;1.0;0.9847715736040609;194.0;0.9742489270386266;release-0.23.0-rc0;
d_tree;38;0.9698492462311558;1.0;0.9846938775510203;193.0;0.9741379310344828;release-2.0.3-alpha;
d_tree;39;0.9696969696969697;1.0;0.9846153846153847;192.0;0.974025974025974;release-1.0.3-rc1;
d_tree;40;0.9695431472081218;1.0;0.9845360824742267;191.0;0.9739130434782609;release-0.17.0;
d_tree;41;0.9693877551020408;1.0;0.9844559585492229;190.0;0.9737991266375546;YARN-5355_branch2-2017-10-14;
d_tree;42;0.9693877551020408;1.0;0.9844559585492229;190.0;0.9736842105263158;release-0.6.2;
d_tree;43;0.9692307692307692;1.0;0.9843749999999999;189.0;0.973568281938326;release-0.20.205.0-rc1;
d_tree;44;0.9690721649484536;1.0;0.9842931937172774;188.0;0.9734513274336283;release-1.0.2-rc1;
d_tree;45;0.9689119170984456;1.0;0.9842105263157895;187.0;0.9733333333333334;release-0.20.204.0-rc0;
d_tree;46;0.96875;1.0;0.9841269841269841;186.0;0.9732142857142857;release-0.20.203.0-rc0;
d_tree;47;0.9685863874345549;1.0;0.9840425531914894;185.0;0.9730941704035875;release-2.9.0-RC1;
d_tree;48;0.9685863874345549;1.0;0.9840425531914894;185.0;0.972972972972973;release-2.0.2-alpha-rc2;
d_tree;49;0.968421052631579;1.0;0.983957219251337;184.0;0.9728506787330317;release-0.23.6;
d_tree;50;0.9682539682539683;1.0;0.9838709677419354;183.0;0.9727272727272728;release-0.23.0;
d_tree;51;0.9680851063829787;1.0;0.9837837837837838;182.0;0.9726027397260274;release-0.21.0-rc0;
d_tree;52;0.9679144385026738;1.0;0.9836956521739131;181.0;0.9724770642201835;YARN-5355-2016-11-06;
d_tree;53;0.9679144385026738;1.0;0.9836956521739131;181.0;0.9723502304147466;release-0.23.4-rc2;
d_tree;54;0.967741935483871;1.0;0.9836065573770492;180.0;0.9722222222222222;release-0.18.0;
d_tree;55;0.9675675675675676;1.0;0.9835164835164836;179.0;0.9720930232558139;release-0.13.0;
d_tree;56;0.967391304347826;1.0;0.9834254143646408;178.0;0.9719626168224299;release-2.9.0-RC3;
d_tree;57;0.967391304347826;1.0;0.9834254143646408;178.0;0.971830985915493;release-1.1.1-rc0;
d_tree;58;0.9672131147540983;1.0;0.9833333333333333;177.0;0.9716981132075472;YARN-2928-2016-06-21;
d_tree;59;0.9672131147540983;1.0;0.9833333333333333;177.0;0.9715639810426541;release-2.7.4-RC0;
d_tree;60;0.967032967032967;1.0;0.9832402234636871;176.0;0.9714285714285714;release-0.16.2;
d_tree;61;0.9668508287292817;1.0;0.9831460674157304;175.0;0.9712918660287081;release-2.0.2-alpha;
d_tree;62;0.9666666666666667;1.0;0.983050847457627;174.0;0.9711538461538461;release-1.2.0-rc1;
d_tree;63;0.9664804469273743;1.0;0.9829545454545454;173.0;0.9710144927536232;release-0.20.2-rc3;
d_tree;64;0.9662921348314607;1.0;0.9828571428571428;172.0;0.970873786407767;release-0.23.8-rc0;
d_tree;65;0.9661016949152542;1.0;0.9827586206896551;171.0;0.9707317073170731;rel/release-2.7.4;
d_tree;66;0.9659090909090909;1.0;0.9826589595375723;170.0;0.9705882352941176;YARN-5355-branch-2-2017-04-25;
d_tree;67;0.9659090909090909;1.0;0.9826589595375723;170.0;0.9704433497536946;release-0.15.2;
d_tree;68;0.9657142857142857;1.0;0.9825581395348837;169.0;0.9702970297029703;release-2.4.1-rc0;
d_tree;69;0.9655172413793104;1.0;0.9824561403508771;168.0;0.9701492537313433;release-2.0.5-alpha-rc1;
d_tree;70;0.9653179190751445;1.0;0.9823529411764705;167.0;0.97;release-0.23.9-rc0;
d_tree;71;0.9651162790697675;1.0;0.9822485207100593;166.0;0.9698492462311558;release-1.0.4;
d_tree;72;0.9649122807017544;1.0;0.9821428571428572;165.0;0.9696969696969697;release-2.7.3-RC2;
d_tree;73;0.9647058823529412;1.0;0.9820359281437125;164.0;0.9695431472081218;release-0.21.0-rc2;
d_tree;74;0.9644970414201184;1.0;0.9819277108433735;163.0;0.9693877551020408;release-0.23.10-rc0;
d_tree;75;0.9642857142857143;1.0;0.9818181818181818;162.0;0.9692307692307692;release-2.5.2;
d_tree;76;0.9640718562874252;1.0;0.9817073170731708;161.0;0.9690721649484536;release-1.2.0;
d_tree;77;0.963855421686747;1.0;0.9815950920245399;160.0;0.9689119170984456;release-0.14.0;
d_tree;78;0.9636363636363636;1.0;0.9814814814814815;159.0;0.96875;release-2.6.2;
d_tree;79;0.9634146341463414;1.0;0.9813664596273292;158.0;0.9685863874345549;release-0.20.204.0;
d_tree;80;0.9631901840490797;1.0;0.98125;157.0;0.968421052631579;release-2.2.0-rc0;
d_tree;81;0.9629629629629629;1.0;0.9811320754716981;156.0;0.9682539682539683;HADOOP-12111-moved-to-yetus;
d_tree;82;0.968944099378882;1.0;0.9842271293375394;156.0;0.973404255319149;release-2.5.0-rc0;
d_tree;83;0.96875;1.0;0.9841269841269841;155.0;0.9732620320855615;release-1.1.0-rc4;
d_tree;84;0.9685534591194969;1.0;0.9840255591054313;154.0;0.9731182795698925;release-0.20.204.0-rc2;
d_tree;85;0.9683544303797469;1.0;0.9839228295819936;153.0;0.972972972972973;release-3.0.1-RC1;
d_tree;86;0.9683544303797469;1.0;0.9839228295819936;153.0;0.9728260869565217;release-0.14.1;
d_tree;87;0.9681528662420382;1.0;0.9838187702265372;152.0;0.9726775956284153;release-0.23.3-rc0;
d_tree;88;0.967948717948718;1.0;0.9837133550488599;151.0;0.9725274725274725;release-2.2.1-rc0;
d_tree;89;0.967741935483871;1.0;0.9836065573770492;150.0;0.9723756906077348;release-0.19.2-rc0;
d_tree;90;0.9675324675324676;1.0;0.9834983498349835;149.0;0.9722222222222222;release-0.8.0;
d_tree;91;0.9673202614379085;1.0;0.9833887043189369;148.0;0.9720670391061452;0.92RC0;
d_tree;92;0.9736842105263158;1.0;0.9866666666666666;148.0;0.9775280898876404;release-0.15.1;
d_tree;93;0.9735099337748344;1.0;0.9865771812080537;147.0;0.9774011299435028;release-0.20.203.0-rc1;
d_tree;94;0.9733333333333334;1.0;0.9864864864864865;146.0;0.9772727272727273;release-0.4.0;
d_tree;95;0.9731543624161074;1.0;0.9863945578231292;145.0;0.9771428571428571;release-2.4.0-rc0;
d_tree;96;0.972972972972973;1.0;0.9863013698630138;144.0;0.9770114942528736;release-2.8.0-RC1;
d_tree;97;0.972972972972973;1.0;0.9863013698630138;144.0;0.976878612716763;release-3.0.0-alpha2-RC0;
d_tree;98;0.972972972972973;1.0;0.9863013698630138;144.0;0.9767441860465116;release-0.2.1;
d_tree;99;0.9727891156462585;1.0;0.9862068965517241;143.0;0.9766081871345029;release-2.7.2-RC2;
d_tree;100;0.9726027397260274;1.0;0.9861111111111112;142.0;0.9764705882352941;rel/release-2.8.2;
nb;1;0.9685863874345549;0.8333333333333334;0.8958837772397094;222.0;0.8401486988847584;release-2.7.5-RC1;
nb;2;0.9692307692307692;0.8552036199095022;0.9086538461538461;221.0;0.8582089552238806;release-1.1.2-rc4;
nb;3;0.9690721649484536;0.8545454545454545;0.9082125603864734;220.0;0.8576779026217228;release-0.23.5;
nb;4;0.9682539682539683;0.8356164383561644;0.8970588235294118;219.0;0.8421052631578947;release-1.2.0-rc0;
nb;5;0.9680851063829787;0.8348623853211009;0.896551724137931;218.0;0.8415094339622642;release-2.6.0-rc1;
nb;6;0.9680851063829787;0.8387096774193549;0.8987654320987655;217.0;0.8446969696969697;release-0.16.2;
nb;7;0.9714285714285714;0.7870370370370371;0.8695652173913044;216.0;0.8060836501901141;rel/release-2.7.3;
nb;8;0.967741935483871;0.8372093023255814;0.8977556109725685;215.0;0.8435114503816794;release-0.23.5-rc0;
nb;9;0.9675675675675676;0.8364485981308412;0.8972431077694236;214.0;0.842911877394636;release-0.8.0;
nb;10;0.9710982658959537;0.7887323943661971;0.8704663212435233;213.0;0.8076923076923077;HADOOP-12111-moved-to-yetus;
nb;11;0.9710982658959537;0.7887323943661971;0.8704663212435233;213.0;0.806949806949807;release-0.14.4;
nb;12;0.9709302325581395;0.7877358490566038;0.8697916666666667;212.0;0.8062015503875969;release-0.23.0-rc0;
nb;13;0.9707602339181286;0.7867298578199052;0.8691099476439791;211.0;0.8054474708171206;release-2.0.0-alpha;
nb;14;0.9705882352941176;0.7857142857142857;0.8684210526315789;210.0;0.8046875;release-2.7.3-RC2;
nb;15;0.9705882352941176;0.7894736842105263;0.870712401055409;209.0;0.807843137254902;release-0.11.1;
nb;16;0.9704142011834319;0.7884615384615384;0.8700265251989389;208.0;0.8070866141732284;release-0.20.2;
nb;17;0.9702380952380952;0.7874396135265701;0.8693333333333333;207.0;0.8063241106719368;release-1.1.2;
nb;18;0.9700598802395209;0.7864077669902912;0.868632707774799;206.0;0.8055555555555556;release-2.5.0-rc0;
nb;19;0.9700598802395209;0.7902439024390244;0.8709677419354839;205.0;0.8087649402390438;release-1.1.2-rc5;
nb;20;0.9698795180722891;0.7892156862745098;0.8702702702702702;204.0;0.808;YARN-5355-2016-11-06;
nb;21;0.9698795180722891;0.7892156862745098;0.8702702702702702;204.0;0.8072289156626506;release-1.0.3;
nb;22;0.9696969696969697;0.7881773399014779;0.8695652173913044;203.0;0.8064516129032258;release-1.0.1-rc1;
nb;23;0.9695121951219512;0.7871287128712872;0.8688524590163934;202.0;0.805668016194332;release-0.21.0;
nb;24;0.9693251533742331;0.7860696517412935;0.868131868131868;201.0;0.8048780487804879;release-0.14.3;
nb;25;0.9691358024691358;0.785;0.867403314917127;200.0;0.8040816326530612;rel/release-2.9.0;
nb;26;0.9691358024691358;0.785;0.867403314917127;200.0;0.8032786885245902;release-2.0.1-alpha;
nb;27;0.968944099378882;0.7839195979899497;0.8666666666666667;199.0;0.8024691358024691;release-0.18.1;
nb;28;0.96875;0.7828282828282829;0.8659217877094972;198.0;0.8016528925619835;release-1.0.1;
nb;29;0.9685534591194969;0.7817258883248731;0.8651685393258427;197.0;0.8008298755186722;release-0.23.9;
nb;30;0.9683544303797469;0.7806122448979592;0.864406779661017;196.0;0.8;release-0.20.2-rc4;
nb;31;0.9681528662420382;0.7794871794871795;0.8636363636363635;195.0;0.799163179916318;release-2.0.5-alpha;
nb;32;0.967948717948718;0.7783505154639175;0.8628571428571429;194.0;0.7983193277310925;release-0.23.4;
nb;33;0.967741935483871;0.7772020725388601;0.8620689655172413;193.0;0.7974683544303798;release-0.3.0;
nb;34;0.9675324675324676;0.7760416666666666;0.8612716763005781;192.0;0.7966101694915254;rel/release-2.7.4;
nb;35;0.9675324675324676;0.7801047120418848;0.863768115942029;191.0;0.8;release-3.0.1-RC1;
nb;36;0.9675324675324676;0.7801047120418848;0.863768115942029;191.0;0.7991452991452992;release-0.20.204.0-rc3;
nb;37;0.9673202614379085;0.7789473684210526;0.8629737609329446;190.0;0.7982832618025751;release-0.13.1;
nb;38;0.9671052631578947;0.7777777777777778;0.8621700879765396;189.0;0.7974137931034483;release-0.15.1;
nb;39;0.9668874172185431;0.776595744680851;0.8613569321533924;188.0;0.7965367965367965;release-0.16.4;
nb;40;0.9666666666666667;0.7754010695187166;0.86053412462908;187.0;0.7956521739130434;rel/release-3.0.0-alpha4;
nb;41;0.9666666666666667;0.7754010695187166;0.86053412462908;187.0;0.7947598253275109;release-0.13.0;
nb;42;0.9664429530201343;0.7741935483870968;0.8597014925373134;186.0;0.793859649122807;release-0.20.0;
nb;43;0.9662162162162162;0.772972972972973;0.8588588588588587;185.0;0.7929515418502202;release-3.0.0-beta1-RC0;
nb;44;0.9662162162162162;0.772972972972973;0.8588588588588587;185.0;0.7920353982300885;release-1.1.0-rc3;
nb;45;0.9659863945578231;0.7717391304347826;0.8580060422960725;184.0;0.7911111111111111;release-0.16.1;
nb;46;0.9657534246575342;0.7704918032786885;0.8571428571428571;183.0;0.7901785714285714;release-1.1.2-rc3;
nb;47;0.9655172413793104;0.7692307692307693;0.8562691131498472;182.0;0.7892376681614349;release-1.0.0;
nb;48;0.9652777777777778;0.7679558011049724;0.8553846153846154;181.0;0.7882882882882883;release-0.2.0;
